,Name,Address,Price_level,rating,user_ratings_total,Type,Opening_Hour
0,Key Food Supermarkets,"2044 Boston Road, Bronx",Not Found,3.9,520,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 8:00 PM', 'Tuesday: 7:00 AM – 8:00 PM', 'Wednesday: 7:00 AM – 8:00 PM', 'Thursday: 7:00 AM – 8:00 PM', 'Friday: 7:00 AM – 8:00 PM', 'Saturday: 7:00 AM – 8:00 PM', 'Sunday: 8:00 AM – 6:00 PM']}"
1,Compare Foods of Morrisania,"1091 Boston Road, Bronx",Not Found,4,26,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2145'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 10:00 PM', 'Tuesday: 7:30 AM – 10:00 PM', 'Wednesday: 7:30 AM – 10:00 PM', 'Thursday: 7:30 AM – 10:00 PM', 'Friday: 7:30 AM – 10:00 PM', 'Saturday: 7:30 AM – 9:45 PM', 'Sunday: 8:00 AM – 9:00 PM']}"
2,Foodtown of Boston Road,"3471 Boston Road, Bronx",Not Found,4,882,"['grocery_or_supermarket', 'supermarket', 'florist', 'food', 'store', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 9:00 PM', 'Tuesday: 7:30 AM – 9:00 PM', 'Wednesday: 7:30 AM – 9:00 PM', 'Thursday: 7:30 AM – 9:00 PM', 'Friday: 7:30 AM – 9:00 PM', 'Saturday: 7:30 AM – 9:00 PM', 'Sunday: Closed']}"
3,Fine Fare Supermarkets,"2556 Boston Road, Bronx",Not Found,4.2,708,"['supermarket', 'atm', 'grocery_or_supermarket', 'finance', 'food', 'store', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0730'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 11:00 PM', 'Tuesday: 7:30 AM – 11:00 PM', 'Wednesday: 7:30 AM – 11:00 PM', 'Thursday: 7:30 AM – 11:00 PM', 'Friday: 7:30 AM – 11:00 PM', 'Saturday: 7:30 AM – 11:00 PM', 'Sunday: 7:30 AM – 10:00 PM']}"
4,Pioneer Supermarkets of West Farms,"1989 Boston Road, Bronx",Not Found,3.6,5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']}"
5,SY Grace West Indian Supermarket,"4018b Boston Road, Bronx",Not Found,4.4,701,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 7:00 PM', 'Tuesday: 8:00 AM – 7:00 PM', 'Wednesday: 8:00 AM – 7:00 PM', 'Thursday: 8:00 AM – 7:00 PM', 'Friday: 8:00 AM – 7:00 PM', 'Saturday: 8:00 AM – 7:00 PM', 'Sunday: 8:00 AM – 6:00 PM']}"
6,CTown Supermarkets,"4008 Boston Road, Bronx",2,3.5,232,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']}"
7,Boston Mini Market,"9428 Kings Highway, Brooklyn",Not Found,1,1,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",Not Found
8,C & A West Indian Supermarket Fish & Grocery,"3439 Boston Road, Bronx",Not Found,4.3,22,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0730'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 8:00 PM', 'Tuesday: 7:30 AM – 8:00 PM', 'Wednesday: 7:30 AM – 8:00 PM', 'Thursday: 7:30 AM – 8:00 PM', 'Friday: 7:30 AM – 8:00 PM', 'Saturday: 7:30 AM – 8:00 PM', 'Sunday: 7:30 AM – 6:00 PM']}"
9,Food Universe Marketplace,"538 West 138th Street, New York",Not Found,4,649,"['grocery_or_supermarket', 'convenience_store', 'supermarket', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 10:00 PM', 'Tuesday: 7:30 AM – 10:00 PM', 'Wednesday: 7:30 AM – 10:00 PM', 'Thursday: 7:30 AM – 10:00 PM', 'Friday: 7:30 AM – 10:00 PM', 'Saturday: 7:30 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']}"
